section,tz_no,name,qty,unit,required_ttx,do_not_offer,note
Оборудование,14,HDD WD85PURZ 8ТБ или аналог,2,шт,"SATA; 8 ТБ; 3.5""; Purple/surveillance",диски 4 ТБ,
Оборудование,15,Монитор Dahua DHI-LM27-C301B или аналог,1,шт,"≥27""; IPS/OLED; ≥2560×1440; ≥100 Гц; ≥300 кд/м²; DP+HDMI; VESA",Full HD без QHD,
Оборудование,16,Кабель HDMI ≥5 м,1,шт,Складская позиция,Rexant с приходом 06.10,
Оборудование,17,Шкаф Cabeus SH-05F-15U60/60-R или аналог,1,шт,"19""; ≥15U; 600×600; стекло; замок",ЦМО 18U IP54,
Оборудование,18,Вентилятор Cabeus XD12038A2 или аналог,2,шт,Под шкаф п.17,,
Оборудование,19,Термостат Cabeus KTS011 или аналог,1,шт,NO; 0…+60 °C,,
Оборудование,20,Щеточный ввод Cabeus JD04B или аналог,2,шт,Совместим со шкафом,,
Оборудование,21,Полка Cabeus SH-J018-FC-600m или аналог,1,шт,"19""; 4 точки; ≥45 кг",,
Оборудование,22,Направляющие Cabeus JH05-06-100KG или аналог,1,компл,"Глубина 600 мм; пара; 100 кг",,
Оборудование,23,PDU Cabeus PDU-8P-2EU или аналог,1,шт,"8 евророзеток; 16 А; Schuko",,
Оборудование,24,PDU Cabeus PDU-8P-2IEC или аналог,1,шт,"8 EURO; 10 А; вилка C14",,
Оборудование,25,ИБП Powercom KIN-3000AP LCD арт.1152615 или аналог,1,шт,"≥3000 ВА / 2400 Вт; 4×9 Ач; 19""; ≤8×C13; USB; RS-232; SNMP",формулировка 1800 Вт; ИБП 850 ВА,
Оборудование,26,Keenetic Explorer 4G KN-4910 или аналог,1,шт,"LTE/4G; SIM любого оператора; ≥4 Ethernet; внешняя LTE-антенна; VPN PPTP и L2TP/IPsec",роутер без LTE,
Материалы,М1,UTP Cat 5e/6 внутренний,,м,По схеме прил. №2 и обмеру,,Отдельная строка КП
Материалы,М2,UTP наружный (при фасаде/улице),,м,По схеме,,
Материалы,М3,Лоток металлический по коридору,,м,Прямое требование ТЗ подраздел 3.1,,
Материалы,М4,Гофра / кабель-канал внутренний,,м,,,
Материалы,М5,Защитный канал к турникету и считывателям,,м,,,
Материалы,М6,Крепёж; автоматы; патч-корды; герметик; расходники,1,компл,Подраздел 2.3 ТЗ,,
Работы,Р1,Доставка и разгрузка на объект Морозовск,1,рейс,Силами подрядчика,,
Работы,Р2,Монтаж шкафа и оборудования АРМ,1,компл,,,
Работы,Р3,Монтаж и юстировка IP-камер,7,шт,Юстировка под контролем заказчика,,
Работы,Р4,Монтаж турникета ограждения считывателей пульта,1,компл,,,
Работы,Р5,Кабельные трассы маркировка кабельный журнал,1,компл,,,
Работы,Р6,ПНР СКУД и СВН,1,компл,,,
Работы,Р7,Разблокировка турникета от Гранит-24,1,шт,,,
Работы,Р8,Инструктаж персонала заказчика,2,чел,,,
Работы,Р9,Исполнительная документация 3+1 экз.,1,компл,Приказ Минстроя 344/пр,,
Работы,Р10,Гарантия ≥12 мес. с акта,1,компл,,,
